slot,event_id,intent,slot_policy,core_start,core_end,planned_event_delta_deg,actual_core_net_yaw_deg,budget_deg,nonturn_budget_fail,intent_mismatch_fail,actual_longest_same_sign_turn_seconds
0,673,none,non_turn_anchor,0,59,-4.068126837117179,-4.06818574749877,30.000000834826057,False,False,0.0
1,673,none,non_turn_anchor,76,126,-4.068126837117179,-4.068045301733962,30.000000834826057,False,False,0.0
2,673,none,non_turn_anchor,143,187,-4.068126837117179,-4.068058962112302,30.000000834826057,False,False,0.0
3,904,none,non_turn_anchor,211,264,-2.5863811162629697,-2.5859659688274803,30.000000834826057,False,False,0.0
4,673,none,non_turn_anchor,288,330,-4.068126837117179,-4.0680914055108595,30.000000834826057,False,False,0.0
5,695,none,non_turn_anchor,359,412,6.533811467113442,6.533904955327706,30.000000834826057,False,False,0.5
6,695,none,non_turn_anchor,437,494,6.533811467113442,6.533859278437632,30.000000834826057,False,False,0.4666666666666667
7,695,none,non_turn_anchor,519,576,6.533811467113442,6.53390538221453,30.000000834826057,False,False,0.4666666666666667
8,695,none,non_turn_anchor,601,658,6.533811467113442,6.533955327972835,30.000000834826057,False,False,0.4666666666666667
9,695,none,non_turn_anchor,683,739,6.533811467113442,6.534049243073923,30.000000834826057,False,False,0.4666666666666667
10,695,none,non_turn_anchor,750,794,6.533811467113442,6.534347210076465,30.000000834826057,False,False,0.5666666666666667
11,558,none,non_turn_anchor,810,842,1.0524289512094742,1.0516852076418834,30.000000834826057,False,False,0.0
12,641,none,non_turn_anchor,867,918,-0.35020250172549194,-0.34966641191692527,30.000000834826057,False,False,0.0
13,689,none,non_turn_anchor,936,974,1.666129665706465,1.6664278461524185,30.000000834826057,False,False,0.0
14,673,none,non_turn_anchor,1000,1041,-4.068126837117179,-4.068019688524575,30.000000834826057,False,False,0.0
15,673,none,non_turn_anchor,1058,1097,-4.068126837117179,-4.068017980977282,30.000000834826057,False,False,0.0
16,673,none,non_turn_anchor,1117,1164,-4.068126837117179,-4.068024811166452,30.000000834826057,False,False,0.0
17,673,none,non_turn_anchor,1184,1230,-4.068126837117179,-4.0680299338083294,30.000000834826057,False,False,0.0
18,904,none,non_turn_anchor,1254,1302,-2.5863811162629697,-2.5855736598370274,30.000000834826057,False,False,0.0
19,673,none,non_turn_anchor,1324,1363,-4.068126837117179,-4.068034202676561,30.000000834826057,False,False,0.0
20,673,none,non_turn_anchor,1382,1425,-4.068126837117179,-4.068037190884323,30.000000834826057,False,False,0.0
21,673,none,non_turn_anchor,1444,1486,-4.068126837117179,-4.068044021073493,30.000000834826057,False,False,0.0
22,904,none,non_turn_anchor,1510,1558,-2.5863811162629697,-2.585864369763576,30.000000834826057,False,False,0.0
23,648,none,non_turn_anchor,1587,1640,3.0909182256285264,3.0910669956863854,30.000000834826057,False,False,0.0
24,648,none,non_turn_anchor,1659,1711,3.0909182256285264,3.0910486395529913,30.000000834826057,False,False,0.0
25,518,none,non_turn_anchor,1730,1762,0.34468864475501404,0.34482252713491685,30.000000834826057,False,False,0.0
26,648,none,non_turn_anchor,1786,1833,3.0909182256285264,3.0909980534644506,30.000000834826057,False,False,0.0
27,648,none,non_turn_anchor,1854,1915,3.0909182256285264,3.0910947433298888,30.000000834826057,False,False,0.0
28,648,none,non_turn_anchor,1934,1987,3.0909182256285264,3.091020038135842,30.000000834826057,False,False,0.0
29,1063,none,neutral,2015,2063,-2.10149851656436,-2.101235767724726,45.00000125223908,False,False,0.0
30,1063,none,neutral,2081,2120,-2.10149851656436,-2.1012688514535185,45.00000125223908,False,False,0.03333333333333333
31,1063,none,neutral,2132,2171,-2.10149851656436,-2.1012957453233754,45.00000125223908,False,False,0.03333333333333333
32,1063,none,neutral,2198,2242,-2.10149851656436,-2.101317516551355,45.00000125223908,False,False,0.0
33,1063,none,neutral,2271,2324,-2.10149851656436,-2.101335872684749,45.00000125223908,False,False,0.0
34,1063,none,neutral,2355,2416,-2.10149851656436,-2.1013503868367356,45.00000125223908,False,False,0.0
35,1063,none,neutral,2445,2498,-2.10149851656436,-2.101358070799552,45.00000125223908,False,False,0.0
36,1063,none,neutral,2527,2580,-2.10149851656436,-2.101366608536014,45.00000125223908,False,False,0.0
37,1063,none,neutral,2597,2636,-2.10149851656436,-2.1013734387251843,45.00000125223908,False,False,0.03333333333333333
38,689,none,non_turn_anchor,2654,2692,1.666129665706465,1.6662323319874268,30.000000834826057,False,False,0.0
39,673,none,non_turn_anchor,2718,2759,-4.068126837117179,-4.068078598906165,30.000000834826057,False,False,0.0
40,695,none,non_turn_anchor,2788,2841,6.533811467113442,6.53393142231074,30.000000834826057,False,False,0.5
41,695,none,non_turn_anchor,2866,2922,6.533811467113442,6.533908370422291,30.000000834826057,False,False,0.4666666666666667
42,695,none,non_turn_anchor,2947,3004,6.533811467113442,6.533923311461101,30.000000834826057,False,False,0.4666666666666667
43,1063,none,neutral,3022,3061,-2.10149851656436,-2.101231925743318,45.00000125223908,False,False,0.03333333333333333
44,673,none,non_turn_anchor,3087,3127,-4.068126837117179,-4.068037190884323,30.000000834826057,False,False,0.0
45,695,none,non_turn_anchor,3156,3209,6.533811467113442,6.534079125151542,30.000000834826057,False,False,0.5
46,695,none,non_turn_anchor,3233,3285,6.533811467113442,6.534148707703712,30.000000834826057,False,False,0.5
47,694,none,non_turn_anchor,3313,3368,-0.5657072163551327,-0.5653082906189216,30.000000834826057,False,False,0.0
48,695,none,non_turn_anchor,3392,3449,6.533811467113442,6.534021922317243,30.000000834826057,False,False,0.4666666666666667
49,695,none,non_turn_anchor,3473,3521,6.533811467113442,6.534279761958411,30.000000834826057,False,False,0.5333333333333333
50,695,none,non_turn_anchor,3546,3601,6.533811467113442,6.5353930827931235,30.000000834826057,False,False,0.4666666666666667
